,ID,Status,Created At,Text,Polarity,Polarity Strength
6,1290209231207976961,retweet,2020-08-03 08:53:46,"Power Grid Corporation of India Ltd board to approve Q1 results on Aug 10, 2020  #PowerGridCorporationofIndia #Q1FY21 #Results   https://t.co/DfZCdYJhfD https://t.co/8Y6bRWw4zF",0,0.0
5,1290198218802782209,tweet,2020-08-03 08:10:00,"Power Grid Corporation of India Ltd board to approve Q1 results on Aug 10, 2020  #PowerGridCorporationofIndia #Q1FY21 #Results   https://t.co/DfZCdYJhfD https://t.co/8Y6bRWw4zF",0,0.0
4,1289156425898323971,tweet,2020-07-31 11:10:17,"@mybmc  To provide essential and urgent service requirment to Power Grid Corporation of India Ltd, can I travel to Gurgaon ?  We have service requirment letter from PGCIL. My home location is in contaminated zone.",0,0.0
3,1288791962317922305,retweet,2020-07-30 11:02:03,PFC to fund IIT- Kanpur R&amp;D in smart grid technology: State-owned Power Finance Corporation will provide Rs 2.38-crore financial assistance to the Indian Institute of Technology-Kanpur to develop infrastructure for R &amp; D in… https://t.co/itiPPjhSE8 #solarenergy #solarpv #solar https://t.co/BvrbqvUHUR,1,0.15476190476190477
2,1288704527668060160,retweet,2020-07-30 05:14:37,PFC to fund IIT- Kanpur R&amp;D in smart grid technology: State-owned Power Finance Corporation will provide Rs 2.38-crore financial assistance to the Indian Institute of Technology-Kanpur to develop infrastructure for R &amp; D in… https://t.co/itiPPjhSE8 #solarenergy #solarpv #solar https://t.co/BvrbqvUHUR,1,0.15476190476190477
1,1288437883288686599,tweet,2020-07-29 11:35:04,Power Grid Corporation of India Limited - Updates: Power Grid Corporation of India Limited has informed the Exchange regarding 'Disclosure of material impact of COVID-19 pandemic.'....... https://t.co/QpQ3OfUu0x,-1,-0.07142857142857142
0,1288434229190070272,tweet,2020-07-29 11:20:32,PFC to fund IIT- Kanpur R&amp;D in smart grid technology: State-owned Power Finance Corporation will provide Rs 2.38-crore financial assistance to the Indian Institute of Technology-Kanpur to develop infrastructure for R &amp; D in… https://t.co/itiPPjhSE8 #solarenergy #solarpv #solar https://t.co/BvrbqvUHUR,1,0.15476190476190477
