,ID,Status,Created At,Text,Polarity,Polarity Strength
28,1291083854237667329,retweet,2020-08-05 18:49:12,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
29,1291083833761075200,retweet,2020-08-05 18:49:07,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
30,1291083661941473280,tweet,2020-08-05 18:48:26,Echo Dot gift twin pack (Black) with Wipro 9W LED smart color bulb available for ₹3999.  2pcs Echo dot + Bulb  MRP/Regualr : ₹7592   https://t.co/Cta5KXKDqe,1,0.1492063492063492
31,1291082946036654082,tweet,2020-08-05 18:45:36,Echo Dot gift twin pack (Black) with Wipro 9W LED smart color bulb available at 3999. MRP: Rs 7592  Link : https://t.co/hzhWhejMpt https://t.co/ROuQLxM49n,1,0.1492063492063492
32,1291082710094471170,tweet,2020-08-05 18:44:39,Echo Dot (Black) bundle with Fire TV Stick and Wipro 9W LED smart color bulb @ ₹ 4448 https://t.co/DqNVSMZiz6,1,0.023809523809523808
33,1291081896156422150,tweet,2020-08-05 18:41:25,"New @PaloAltoNtwks #SOAR marketplace surfaces with numerous #cybersecurity partners -- including @code42, @chroniclesec, @illusivenw, @Infosys, @RecordedFuture, @RiskIQ, @safebreach, @CyberSixgill, @TufinTech, @Wipro. $PANW $GOOG $INFY $WIT https://t.co/e1ChfxtqtH",1,0.06818181818181818
34,1291081886182375427,retweet,2020-08-05 18:41:23,"Such heartening news from our Pune IT campus that has been developed into an intermediary-care Covid19 hospital for the State government. Together, we can beat #COVID19 !  @Wipro @OfficeofUT @azimpremjiuniv @RishadPremji @TDelaporte @saurabh_govil @KapilSharmaDC https://t.co/NTHcm8EtmY",1,0.0625
35,1291081492487999488,tweet,2020-08-05 18:39:49,IoT Market set to shred USD 150 Billion to Corona #cisco #huawei #siemens #bosch #ibm #apple #samsung #gedigital #iotconnectivity #iotdevices #iotplatforms #iottechnology #internetofthings #tataconsultancyservices #wipro #hcl #Infosys https://t.co/pX30lYiwzX,0,0.0
36,1291081418466922497,retweet,2020-08-05 18:39:31,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
37,1291081151143018496,retweet,2020-08-05 18:38:28,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
